Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
pciat_3,parentchild_internet_addiction_test_pciat,,radio,3. How often does your child prefer to spend time online rather than with the rest of your family?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_4,parentchild_internet_addiction_test_pciat,,radio,4. How often does your child form new relationships with fellow online users?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_5,parentchild_internet_addiction_test_pciat,,radio,5. How often do you complain about the amount of time your child spends online?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_6,parentchild_internet_addiction_test_pciat,,radio,6. How often do your child's grades suffer because of the amount of time he or she spends online?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_7,parentchild_internet_addiction_test_pciat,,radio,7. How often does your child check his or her e-mail before doing something else?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_8,parentchild_internet_addiction_test_pciat,,radio,8. How often does your child seem withdrawn from others since discovering the Internet?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_9,parentchild_internet_addiction_test_pciat,,radio,9. How often does your child become defensive or secretive when asked what he or she does online?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_10,parentchild_internet_addiction_test_pciat,,radio,10. How often have you caught your child sneaking online against your wishes?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_11,parentchild_internet_addiction_test_pciat,,radio,11. How often does your child spend time alone in his or her room playing on the computer?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_12,parentchild_internet_addiction_test_pciat,,radio,"12. How often does your child receive strange phone calls from new ""online"" friends?","0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_13,parentchild_internet_addiction_test_pciat,,radio,"13. How often does your child snap, yell, or act annoyed if bothered while online?","0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_14,parentchild_internet_addiction_test_pciat,,radio,14. How often does your child seem more tired and fatigued than he or she did before the Internet came along?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_15,parentchild_internet_addiction_test_pciat,,radio,15. How often does your child seem preoccupied with being back online when off-line?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_16,parentchild_internet_addiction_test_pciat,,radio,16. How often does your child throw tantrums with your interference about how long he or she spends online?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_17,parentchild_internet_addiction_test_pciat,,radio,17. How often does your child choose to spend time online rather than doing once enjoyed hobbies and/or outside interests?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_18,parentchild_internet_addiction_test_pciat,,radio,18. How often does your child become angry or belligerent when your place time limits on how much time he or she is allowed to spend online?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_19,parentchild_internet_addiction_test_pciat,,radio,19. How often does your child choose to spend more time online than going out with friends?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_20,parentchild_internet_addiction_test_pciat,,radio,"20. How often does your child feel depressed, moody, or nervous when off-line which seems to go away once back online?","0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
